cartridge,bullet_diameter,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,twist_rate,coal,compressed_load
260_rem,0.264,scenar,108,vihtavuori_n150,124,39.1,2837,24.75,9,2.795,no
260_rem,0.264,scenar,108,vihtavuori_n160,143,45,2947,24.75,9,2.795,no
260_rem,0.264,ttsx_bt,120,vihtavuori_n140,112,37.8,2641,24.75,9,2.772,no
260_rem,0.264,ttsx_bt,120,vihtavuori_n540,117,38.7,2782,24.75,9,2.772,no
260_rem,0.264,ttsx_bt,120,vihtavuori_n150,124,37,2625,24.75,9,2.772,no
260_rem,0.264,bt_target,120,vihtavuori_n540,117,39.7,2874,24.75,9,2.795,no
260_rem,0.264,bt_target,120,vihtavuori_n150,124,38.4,2779,24.75,9,2.795,no
260_rem,0.264,bt_target,120,vihtavuori_n550,129,42.6,2907,24.75,9,2.795,no
260_rem,0.264,bt_target,120,vihtavuori_n160,143,45.8,2904,24.75,9,2.795,no
260_rem,0.264,cx,120,vihtavuori_n140,112,35.8,2539,24.75,9,2.795,no
260_rem,0.264,cx,120,vihtavuori_n540,117,37.3,2703,24.75,9,2.795,no
260_rem,0.264,cx,120,vihtavuori_n150,124,36,2546,24.75,9,2.795,no
260_rem,0.264,cx,120,vihtavuori_n550,129,40.4,2749,24.75,9,2.795,no
260_rem,0.264,cx,120,vihtavuori_n160,143,41.1,2631,24.75,9,2.795,no
260_rem,0.264,scenar_l,120,vihtavuori_n540,117,39.8,2805,24.75,9,2.795,no
260_rem,0.264,scenar_l,120,vihtavuori_n150,124,39.4,2736,24.75,9,2.795,no
260_rem,0.264,scenar_l,120,vihtavuori_n550,129,42.1,2818,24.75,9,2.795,no
260_rem,0.264,scenar_l,120,vihtavuori_n160,143,45.4,2792,24.75,9,2.795,no
260_rem,0.264,trx,120,vihtavuori_n140,112,38.9,2753,24.75,9,2.795,no
260_rem,0.264,trx,120,vihtavuori_n540,117,38.4,2808,24.75,9,2.795,no
260_rem,0.264,trx,120,vihtavuori_n150,124,39,2746,24.75,9,2.795,no
260_rem,0.264,trx,120,vihtavuori_n550,129,41.5,2861,24.75,9,2.795,no
260_rem,0.264,ballistic_tip,120,vihtavuori_n140,112,38.7,2736,24.75,9,2.799,no
260_rem,0.264,ballistic_tip,120,vihtavuori_n150,124,38.9,2746,24.75,9,2.799,no
260_rem,0.264,ballistic_tip,120,vihtavuori_n160,143,47.2,2904,24.75,9,2.799,no
260_rem,0.264,sp,120,vihtavuori_n540,117,38.2,2706,24.75,9,2.795,no
260_rem,0.264,sp,120,vihtavuori_n550,129,40.7,2741,24.75,9,2.795,no
260_rem,0.264,sp,120,vihtavuori_n160,143,43.2,2750,24.75,9,2.795,no
260_rem,0.264,scenar,123,vihtavuori_n150,124,38.6,2677,24.75,9,2.795,no
260_rem,0.264,scenar,123,vihtavuori_n550,129,41.5,2746,24.75,9,2.795,no
260_rem,0.264,scenar,123,vihtavuori_n160,143,44.6,2759,24.75,9,2.795,no
260_rem,0.264,hpbt_matchking,123,vihtavuori_n140,112,38.6,2762,24.75,9,2.795,no
260_rem,0.264,hpbt_matchking,123,vihtavuori_n540,117,38.9,2828,24.75,9,2.795,no
260_rem,0.264,hpbt_matchking,123,vihtavuori_n150,124,38.6,2762,24.75,9,2.795,no
260_rem,0.264,hpbt_matchking,123,vihtavuori_n550,129,42,2881,24.75,9,2.795,no
260_rem,0.264,lrx_bt,127,vihtavuori_n140,112,36.6,2520,24.75,9,2.795,no
260_rem,0.264,lrx_bt,127,vihtavuori_n540,117,38.3,2651,24.75,9,2.795,no
260_rem,0.264,lrx_bt,127,vihtavuori_n150,124,36,2510,24.75,9,2.795,no
260_rem,0.264,lrx_bt,127,vihtavuori_n550,129,40.9,2733,24.75,9,2.795,no
260_rem,0.264,lrx_bt,127,vihtavuori_n160,143,44.6,2697,24.75,9,2.795,no
260_rem,0.264,lrx_bt,127,vihtavuori_n560,147,47.7,2779,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n140,112,36,2569,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n540,117,36.4,2651,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n150,124,35.3,2543,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n550,129,39.2,2703,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n555,144,43.5,2749,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n160,143,42.4,2674,24.75,9,2.795,no
260_rem,0.264,interlock_sp,129,vihtavuori_n560,147,44.9,2772,24.75,9,2.795,no
260_rem,0.264,tsx,130,vihtavuori_n540,117,37.7,2657,24.75,9,2.787,no
260_rem,0.264,tsx,130,vihtavuori_n550,129,40,2677,24.75,9,2.787,no
260_rem,0.264,tsx,130,vihtavuori_n160,143,42.4,2651,24.75,9,2.787,no
260_rem,0.264,tgk,130,vihtavuori_n140,112,37,2631,24.75,9,2.795,no
260_rem,0.264,tgk,130,vihtavuori_n540,117,37.3,2703,24.75,9,2.795,no
260_rem,0.264,tgk,130,vihtavuori_n150,124,36.3,2605,24.75,9,2.795,no
260_rem,0.264,tgk,130,vihtavuori_n550,129,40.3,2743,24.75,9,2.795,no
260_rem,0.264,tgk,130,vihtavuori_n555,144,43.8,2776,24.75,9,2.795,no
260_rem,0.264,tgk,130,vihtavuori_n160,143,43.2,2707,24.75,9,2.795,no
260_rem,0.264,hybrid_otm_tactical,130,vihtavuori_n540,117,38.7,2769,24.75,9,2.795,no
260_rem,0.264,hybrid_otm_tactical,130,vihtavuori_n150,124,38,2694,24.75,9,2.795,no
260_rem,0.264,hybrid_otm_tactical,130,vihtavuori_n550,129,41.7,2805,24.75,9,2.795,no
260_rem,0.264,hybrid_otm_tactical,130,vihtavuori_n160,143,45.8,2828,24.75,9,2.795,no
260_rem,0.264,vld_target,130,vihtavuori_n140,112,36.7,2671,24.75,9,2.795,no
